input,output,source,category
Who is the respondent in the case Union of India vs. Maj. Gen. Manomoy Ganguly?,The respondent is Maj. Gen. Manomoy Ganguly.,IndicLegalQA,case_qa
What was the main issue in the case Union of India vs. Maj. Gen. Manomoy Ganguly?,The main issue was Maj. Gen. Manomoy Ganguly's denial of promotion to the position of Director General Medical Services (Army) despite being eligible and senior.,IndicLegalQA,case_qa
What decision did the Armed Forces Tribunal (AFT) make regarding Maj. Gen. Manomoy Ganguly's promotion?,The AFT directed the appellants to post Maj. Gen. Manomoy Ganguly as DGMS (Army) as expeditiously as possible and within one month from the date of the judgment.,IndicLegalQA,case_qa
What was the reason given by the appellants for not promoting Maj. Gen. Manomoy Ganguly to DGMS (Army)?,The appellants argued that Maj. Gen. Manomoy Ganguly was not found suitable for the position based on an inter se assessment of suitability among eligible officers.,IndicLegalQA,case_qa
How did the Supreme Court of India rule on the appeal against the AFT's decision?,"The Supreme Court of India upheld the AFT's decision and dismissed the appeal, affirming that Maj. Gen. Manomoy Ganguly was entitled to the promotion as DGMS (Army).",IndicLegalQA,case_qa
What criteria did the Supreme Court highlight as necessary for the appointment of DGMS (Army)?,"The Supreme Court highlighted that the criteria included inter se seniority and suitability, and that Maj. Gen. Manomoy Ganguly, being the senior most and suitable, should be promoted.",IndicLegalQA,case_qa
What were the final instructions of the Supreme Court regarding the promotion of Maj. Gen. Manomoy Ganguly?,"The Supreme Court instructed that Maj. Gen. Manomoy Ganguly should be appointed to the post of DGMS (Army) without further delay, in accordance with the AFT's decision.",IndicLegalQA,case_qa
What was the main issue in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"The main issue was whether the tenancy and partnership between Pradeep Kumar and Subhash Chand ended with the death of Pradeep Kumar, leading to the deemed vacancy of the property under Section 12(2) of the U.P. Urban Buildings (Regulation of Letting, Rent and Eviction) Act, 1972.",IndicLegalQA,case_qa
What was the argument presented by the appellants regarding the partnership after the death of Pradeep Kumar in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"The appellants argued that the partnership between Pradeep Kumar and Subhash Chand ended automatically with the death of Pradeep Kumar on 21st May 2004, and therefore, the tenancy also ended under Section 12(2) of the U.P. Urban Buildings (Regulation of Letting, Rent and Eviction) Act, 1972.",IndicLegalQA,case_qa
How did the High Court of Uttarakhand initially rule on the review application filed by the appellants in the case Davesh Nagalya (D) & Ors. vs. Pradeep Kumar (D) Thr. LRs. and Ors.?,"The High Court of Uttarakhand dismissed the review application on 23rd April 2008, stating that the grounds urged were different from those in the writ petition, and did not consider the subsequent events such as the death of Pradeep Kumar.",IndicLegalQA,case_qa
